"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 09월 01일","200,500","214,500","217,000","199,000","420.50K","-8.24%"
"2015년 08월 31일","218,500","218,500","221,000","216,000","144.58K","0.00%"
"2015년 08월 30일","218,500","218,500","218,500","218,500","0.08K","0.00%"
"2015년 08월 28일","218,500","216,500","219,500","214,500","89.12K","1.86%"
"2015년 08월 27일","214,500","216,500","219,000","213,000","96.40K","-0.92%"
"2015년 08월 26일","216,500","206,000","216,500","203,500","125.32K","4.84%"
"2015년 08월 25일","206,500","211,000","211,000","202,000","134.84K","-1.20%"
"2015년 08월 24일","209,000","200,500","210,500","200,500","165.87K","1.70%"
"2015년 08월 21일","205,500","209,000","209,000","195,000","209.84K","-3.75%"
"2015년 08월 20일","213,500","206,500","214,500","201,000","125.34K","2.15%"
"2015년 08월 19일","209,000","214,000","214,000","202,500","162.83K","-2.56%"
"2015년 08월 18일","214,500","217,000","219,000","214,000","81.59K","-0.23%"
"2015년 08월 17일","215,000","217,500","221,000","215,000","105.06K","0.00%"
"2015년 08월 13일","215,000","218,000","219,500","214,000","91.94K","0.00%"
"2015년 08월 12일","215,000","210,500","218,000","210,500","128.21K","1.90%"
"2015년 08월 11일","211,000","212,000","216,500","208,000","107.92K","-0.47%"
"2015년 08월 10일","212,000","222,000","222,500","211,000","109.34K","-3.85%"
"2015년 08월 07일","220,500","216,500","222,000","212,000","135.56K","2.32%"
"2015년 08월 06일","215,500","217,000","220,500","214,000","114.38K","-0.92%"
"2015년 08월 05일","217,500","218,500","219,000","214,500","87.71K","-0.46%"
"2015년 08월 04일","218,500","214,000","218,500","211,000","150.27K","2.34%"
"2015년 08월 03일","213,500","221,000","226,000","213,000","245.17K","-2.73%"
"2015년 08월 02일","219,500","219,500","219,500","219,500","0.14K","0.00%"
"2015년 07월 31일","219,500","240,000","240,500","216,000","466.12K","-6.99%"
"2015년 07월 30일","236,000","237,500","241,000","230,000","153.10K","0.64%"
"2015년 07월 29일","234,500","232,500","245,500","231,500","229.11K","2.18%"
"2015년 07월 28일","229,500","228,000","232,500","225,000","151.74K","-1.29%"
"2015년 07월 27일","232,500","234,500","240,000","231,500","120.09K","-1.48%"
"2015년 07월 26일","236,000","236,000","236,000","236,000","0.20K","0.00%"
"2015년 07월 24일","236,000","230,000","241,000","227,500","156.88K","2.61%"
"2015년 07월 23일","230,000","235,000","236,000","229,000","179.04K","-2.54%"
"2015년 07월 22일","236,000","242,000","244,500","236,000","125.63K","-3.28%"
"2015년 07월 21일","244,000","243,000","246,500","236,500","163.71K","1.88%"
