"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 08월 12일","361,000","361,000","361,000","361,000","-","0.00%"
"2018년 08월 10일","361,000","358,500","362,500","357,000","64.74K","0.84%"
"2018년 08월 09일","358,000","358,000","362,500","349,000","176.10K","-0.28%"
"2018년 08월 08일","359,000","363,000","368,000","357,000","71.86K","-1.37%"
"2018년 08월 07일","364,000","368,500","369,000","362,500","61.89K","-1.75%"
"2018년 08월 06일","370,500","370,500","376,000","369,000","43.43K","0.00%"
"2018년 08월 03일","370,500","369,000","373,500","368,000","39.88K","0.14%"
"2018년 08월 02일","370,000","380,500","381,000","369,500","72.23K","-3.65%"
"2018년 08월 01일","384,000","390,000","390,500","379,000","47.93K","-0.39%"
"2018년 07월 31일","385,500","388,500","388,500","382,500","46.11K","-0.52%"
"2018년 07월 30일","387,500","385,000","391,000","383,000","33.38K","0.26%"
"2018년 07월 29일","386,500","386,500","386,500","386,500","-","0.00%"
"2018년 07월 27일","386,500","389,000","389,000","379,000","42.63K","-0.26%"
"2018년 07월 26일","387,500","386,500","392,000","381,000","52.22K","0.91%"
"2018년 07월 25일","384,000","384,000","388,000","376,500","51.48K","0.00%"
"2018년 07월 24일","384,000","383,000","386,000","378,000","69.12K","0.79%"
"2018년 07월 23일","381,000","375,500","382,000","371,000","73.45K","2.28%"
"2018년 07월 20일","372,500","372,500","377,000","365,000","73.51K","0.00%"
"2018년 07월 19일","372,500","384,500","385,000","370,500","96.37K","-3.75%"
"2018년 07월 18일","387,000","388,500","400,000","384,000","88.39K","-0.39%"
"2018년 07월 17일","388,500","390,000","396,000","383,500","119.21K","-1.02%"
"2018년 07월 16일","392,500","394,000","397,000","387,500","79.66K","-0.63%"
"2018년 07월 15일","395,000","395,000","395,000","395,000","-","0.00%"
"2018년 07월 13일","395,000","397,500","400,000","393,500","93.31K","0.64%"
"2018년 07월 12일","392,500","388,000","395,000","384,000","105.18K","1.29%"
"2018년 07월 11일","387,500","386,500","393,000","384,500","114.18K","0.26%"
"2018년 07월 10일","386,500","376,000","388,000","376,000","87.79K","2.52%"
"2018년 07월 09일","377,000","374,500","380,000","370,000","127.04K","2.17%"
"2018년 07월 08일","369,000","369,000","369,000","369,000","-","0.00%"
"2018년 07월 06일","369,000","367,500","371,000","361,000","56.51K","-0.54%"
"2018년 07월 05일","371,000","365,500","377,500","365,000","94.31K","1.50%"
"2018년 07월 04일","365,500","357,000","366,500","353,000","55.49K","1.39%"
"2018년 07월 03일","360,500","363,000","366,500","358,000","90.75K","-1.64%"
"2018년 07월 02일","366,500","370,500","374,000","364,500","63.39K","-1.21%"
"2018년 06월 29일","371,000","364,000","374,000","360,000","88.21K","3.06%"
"2018년 06월 28일","360,000","377,500","377,500","360,000","119.08K","-4.89%"
"2018년 06월 27일","378,500","365,000","380,000","365,000","104.12K","2.85%"
"2018년 06월 26일","368,000","372,000","372,000","360,000","67.06K","-1.08%"
"2018년 06월 25일","372,000","372,500","379,000","369,500","102.07K","-0.13%"
"2018년 06월 24일","372,500","372,500","372,500","372,500","-","0.00%"
"2018년 06월 22일","372,500","359,000","373,000","359,000","76.65K","2.62%"
"2018년 06월 21일","363,000","349,000","369,500","349,000","104.26K","3.13%"
"2018년 06월 20일","352,000","356,500","357,000","342,500","107.88K","-2.22%"
"2018년 06월 19일","360,000","357,000","362,000","355,500","86.68K","0.84%"
"2018년 06월 18일","357,000","360,500","367,000","353,500","69.25K","-0.83%"
"2018년 06월 17일","360,000","360,000","360,000","360,000","-","0.00%"
"2018년 06월 15일","360,000","360,500","363,000","356,000","106.71K","0.14%"
"2018년 06월 14일","359,500","367,500","368,500","359,000","102.87K","-2.04%"
"2018년 06월 13일","367,000","367,000","367,000","367,000","-","0.00%"
"2018년 06월 12일","367,000","365,000","371,000","364,000","71.14K","1.66%"
"2018년 06월 11일","361,000","361,500","367,500","360,000","60.63K","-1.10%"
"2018년 06월 10일","365,000","365,000","365,000","365,000","-","0.00%"
"2018년 06월 08일","365,000","355,000","367,500","354,500","122.04K","3.40%"
"2018년 06월 07일","353,000","355,500","355,500","348,500","125.78K","-0.98%"
"2018년 06월 05일","356,500","364,500","366,000","355,500","79.00K","-1.93%"
"2018년 06월 04일","363,500","362,000","367,000","358,500","78.41K","0.00%"
"2018년 06월 01일","363,500","355,000","364,000","354,000","100.74K","2.97%"
"2018년 05월 31일","353,000","351,000","361,500","348,500","147.72K","0.57%"
"2018년 05월 30일","351,000","351,000","356,500","347,000","147.82K","-0.28%"
"2018년 05월 29일","352,000","350,000","356,000","345,000","130.81K","-0.14%"
"2018년 05월 28일","352,500","359,500","360,000","351,500","174.75K","-3.16%"
"2018년 05월 27일","364,000","364,000","364,000","364,000","-","0.00%"
"2018년 05월 25일","364,000","357,500","367,000","354,000","126.71K","1.39%"
"2018년 05월 24일","359,000","352,000","359,500","348,000","121.39K","1.99%"
"2018년 05월 23일","352,000","352,500","357,500","351,500","113.04K","-0.56%"
"2018년 05월 22일","354,000","354,000","354,000","354,000","-","0.00%"
"2018년 05월 21일","354,000","352,000","358,500","352,000","89.09K","0.28%"
"2018년 05월 20일","353,000","353,000","353,000","353,000","-","0.00%"
"2018년 05월 18일","353,000","362,000","362,000","351,500","92.18K","-2.22%"
"2018년 05월 17일","361,000","362,000","364,000","354,000","113.06K","0.14%"
"2018년 05월 16일","360,500","357,000","373,000","354,000","235.34K","1.98%"
"2018년 05월 15일","353,500","334,000","356,500","333,500","234.01K","5.52%"
"2018년 05월 14일","335,000","333,000","340,000","332,500","236.40K","0.75%"
"2018년 05월 13일","332,500","332,500","332,500","332,500","-","0.00%"
"2018년 05월 11일","332,500","346,500","347,500","330,000","454.96K","-4.18%"
"2018년 05월 10일","347,000","358,500","394,000","347,000","694.45K","-3.21%"
"2018년 05월 09일","358,500","342,000","359,500","342,000","135.98K","4.82%"
"2018년 05월 08일","342,000","346,000","349,500","340,500","154.79K","-1.30%"
"2018년 05월 04일","346,500","354,500","355,500","346,500","92.06K","-2.39%"
"2018년 05월 03일","355,000","354,500","356,500","353,500","51.79K","0.00%"
"2018년 05월 02일","355,000","360,000","360,500","352,000","110.95K","-1.39%"
"2018년 05월 01일","360,000","360,000","360,000","360,000","-","0.00%"
"2018년 04월 30일","360,000","360,000","361,500","354,500","63.84K","0.14%"
"2018년 04월 29일","359,500","359,500","359,500","359,500","-","0.00%"
"2018년 04월 27일","359,500","361,000","366,500","358,500","100.55K","-0.14%"
"2018년 04월 26일","360,000","356,000","360,500","356,000","97.55K","1.69%"
"2018년 04월 25일","354,000","358,000","361,500","352,000","123.07K","-1.67%"
"2018년 04월 24일","360,000","360,000","364,500","357,500","116.94K","-0.14%"
"2018년 04월 23일","360,500","370,000","370,000","359,500","177.68K","-2.30%"
"2018년 04월 22일","369,000","369,000","369,000","369,000","-","0.00%"
"2018년 04월 20일","369,000","378,000","380,500","369,000","140.03K","-2.38%"
"2018년 04월 19일","378,000","380,000","385,000","373,000","135.08K","-1.69%"
"2018년 04월 18일","384,500","383,500","387,500","383,500","54.71K","0.39%"
"2018년 04월 17일","383,000","378,500","383,000","376,000","75.95K","1.73%"
"2018년 04월 16일","376,500","387,000","387,000","375,500","119.94K","-2.84%"
"2018년 04월 15일","387,500","387,500","387,500","387,500","-","0.00%"
"2018년 04월 13일","387,500","394,500","394,500","385,500","94.62K","-1.77%"
"2018년 04월 12일","394,500","392,000","394,500","388,500","79.26K","1.02%"
"2018년 04월 11일","390,500","394,500","402,500","390,000","109.24K","-1.88%"
"2018년 04월 10일","398,000","402,500","402,500","388,000","119.37K","-1.24%"
"2018년 04월 09일","403,000","404,500","407,500","402,000","49.66K","-0.25%"
"2018년 04월 08일","404,000","404,000","404,000","404,000","-","0.00%"
"2018년 04월 06일","404,000","409,000","413,000","403,500","58.80K","-2.42%"
"2018년 04월 05일","414,000","422,500","427,500","411,500","75.26K","-2.01%"
"2018년 04월 04일","422,500","420,500","429,000","418,500","98.30K","1.08%"
"2018년 04월 03일","418,000","421,500","426,500","416,500","74.07K","-2.11%"
"2018년 04월 02일","427,000","425,000","432,000","421,500","67.06K","1.67%"
"2018년 03월 30일","420,000","413,000","423,000","411,000","59.17K","2.44%"
"2018년 03월 29일","410,000","416,000","417,000","404,000","71.72K","-1.56%"
"2018년 03월 28일","416,500","417,500","421,500","410,500","84.29K","-0.36%"
"2018년 03월 27일","418,000","423,000","426,500","417,000","88.46K","0.12%"
"2018년 03월 26일","417,500","409,000","418,500","409,000","61.92K","2.08%"
"2018년 03월 25일","409,000","409,000","409,000","409,000","-","0.00%"
"2018년 03월 23일","409,000","409,500","414,500","407,500","84.95K","-3.08%"
"2018년 03월 22일","422,000","425,000","427,500","419,000","117.72K","0.48%"
"2018년 03월 21일","420,000","420,500","422,000","416,000","99.00K","0.12%"
"2018년 03월 20일","419,500","409,500","419,500","408,500","111.39K","1.70%"
"2018년 03월 19일","412,500","411,000","415,500","409,000","80.36K","0.73%"
"2018년 03월 16일","409,500","402,500","409,500","401,500","112.47K","2.38%"
"2018년 03월 15일","400,000","396,000","402,500","391,000","57.93K","1.39%"
"2018년 03월 14일","394,500","400,500","403,000","393,000","70.42K","-2.83%"
"2018년 03월 13일","406,000","404,500","407,500","400,000","87.06K","0.25%"
"2018년 03월 12일","405,000","399,000","406,500","397,000","160.40K","3.18%"
"2018년 03월 09일","392,500","389,000","398,500","385,000","191.18K","1.03%"
"2018년 03월 08일","388,500","390,000","392,000","382,500","99.89K","0.26%"
"2018년 03월 07일","387,500","384,500","393,000","381,000","95.43K","0.13%"
"2018년 03월 06일","387,000","382,500","388,500","378,500","112.98K","1.84%"
"2018년 03월 05일","380,000","374,000","383,000","373,500","115.07K","1.60%"
"2018년 03월 04일","374,000","374,000","374,000","374,000","-","0.00%"
"2018년 03월 02일","374,000","370,000","377,500","366,000","155.40K","-0.27%"
"2018년 03월 01일","375,000","375,000","375,000","375,000","-","0.00%"
"2018년 02월 28일","375,000","396,000","402,500","373,000","259.82K","-4.46%"
"2018년 02월 27일","392,500","387,000","396,500","384,000","156.61K","1.16%"
"2018년 02월 26일","388,000","397,500","399,000","384,000","159.61K","-2.39%"
"2018년 02월 23일","397,500","403,000","405,000","396,000","75.87K","-0.13%"
"2018년 02월 22일","398,000","394,000","407,000","393,500","132.78K","0.89%"
"2018년 02월 21일","394,500","391,000","398,500","391,000","102.91K","0.64%"
"2018년 02월 20일","392,000","406,000","407,500","391,500","115.98K","-3.33%"
"2018년 02월 19일","405,500","405,500","408,500","399,500","82.08K","1.38%"
"2018년 02월 18일","400,000","400,000","400,000","400,000","-","0.00%"
"2018년 02월 14일","400,000","405,000","407,500","398,500","63.38K","-0.37%"
"2018년 02월 13일","401,500","394,000","403,500","392,000","116.27K","2.29%"
"2018년 02월 12일","392,500","384,500","397,500","384,500","125.20K","2.35%"
"2018년 02월 11일","383,500","383,500","383,500","383,500","-","0.00%"
"2018년 02월 09일","383,500","394,000","400,000","382,000","191.98K","-5.89%"
"2018년 02월 08일","407,500","405,000","415,000","390,500","304.02K","-0.37%"
"2018년 02월 07일","409,000","424,000","424,500","407,500","169.00K","-1.92%"
"2018년 02월 06일","417,000","402,000","420,000","401,500","157.45K","-0.83%"
"2018년 02월 05일","420,500","434,000","440,000","418,000","146.78K","-4.10%"
"2018년 02월 04일","438,500","438,500","438,500","438,500","-","0.00%"
"2018년 02월 02일","438,500","442,500","442,500","435,000","123.75K","-0.79%"
"2018년 02월 01일","442,000","440,000","447,500","440,000","70.67K","0.00%"
"2018년 01월 31일","442,000","440,000","452,500","437,000","179.09K","-0.11%"
"2018년 01월 30일","442,500","450,500","457,500","441,500","133.47K","-1.45%"
"2018년 01월 29일","449,000","452,000","452,500","442,000","141.96K","-0.11%"
"2018년 01월 28일","449,500","449,500","449,500","449,500","-","0.00%"
"2018년 01월 26일","449,500","423,000","450,000","423,000","330.41K","5.64%"
"2018년 01월 25일","425,500","433,000","434,500","421,000","159.19K","-2.30%"
"2018년 01월 24일","435,500","440,000","440,000","432,000","73.93K","-0.57%"
"2018년 01월 23일","438,000","431,000","440,000","430,500","123.55K","1.74%"
"2018년 01월 22일","430,500","425,500","433,500","420,000","101.48K","1.06%"
"2018년 01월 21일","426,000","426,000","426,000","426,000","-","0.00%"
"2018년 01월 19일","426,000","432,000","432,500","422,000","101.97K","-1.39%"
"2018년 01월 18일","432,000","429,000","437,500","425,500","137.42K","1.05%"
"2018년 01월 17일","427,500","426,000","427,500","416,500","95.32K","0.23%"
"2018년 01월 16일","426,500","415,500","429,000","414,000","112.44K","2.65%"
"2018년 01월 15일","415,500","415,500","421,000","410,500","118.38K","0.48%"
"2018년 01월 14일","413,500","413,500","413,500","413,500","-","0.00%"
"2018년 01월 12일","413,500","432,000","432,500","411,500","226.24K","-3.16%"
"2018년 01월 11일","427,000","438,500","438,500","427,000","111.14K","-2.06%"
"2018년 01월 10일","436,000","428,500","436,500","423,500","196.29K","2.95%"
"2018년 01월 09일","423,500","420,000","428,000","418,500","126.12K","0.83%"
"2018년 01월 08일","420,000","422,000","425,000","415,000","143.42K","-0.47%"
"2018년 01월 07일","422,000","422,000","422,000","422,000","-","0.00%"
"2018년 01월 05일","422,000","426,500","430,000","417,000","204.01K","-0.12%"
"2018년 01월 04일","422,500","438,500","438,500","422,000","283.87K","-2.87%"
"2018년 01월 03일","435,000","441,500","446,500","432,000","233.83K","-2.58%"
"2018년 01월 02일","446,500","448,000","452,500","442,000","121.84K","-0.22%"
"2018년 01월 01일","447,500","447,500","447,500","447,500","-","0.00%"
"2017년 12월 28일","447,500","448,000","452,000","444,500","97.08K","0.22%"
"2017년 12월 27일","446,500","433,000","446,500","431,500","123.62K","4.08%"
"2017년 12월 26일","429,000","433,500","439,500","428,000","197.95K","-1.72%"
"2017년 12월 25일","436,500","436,500","436,500","436,500","-","0.00%"
"2017년 12월 22일","436,500","437,000","443,000","435,000","110.64K","0.11%"
"2017년 12월 21일","436,000","439,000","443,500","433,500","207.01K","0.11%"
"2017년 12월 20일","435,500","456,000","458,000","434,000","385.74K","-5.63%"
"2017년 12월 19일","461,500","470,000","478,000","444,000","375.75K","-2.33%"
"2017년 12월 18일","472,500","485,500","485,500","471,000","118.65K","-1.97%"
"2017년 12월 15일","482,000","490,000","492,000","477,500","145.20K","-0.82%"
"2017년 12월 14일","486,000","487,000","495,500","483,000","244.24K","-0.41%"
"2017년 12월 13일","488,000","466,000","489,000","464,500","393.13K","4.72%"
"2017년 12월 12일","466,000","460,000","469,000","459,000","175.41K","1.75%"
"2017년 12월 11일","458,000","469,500","470,000","448,000","194.27K","-1.61%"
"2017년 12월 08일","465,500","465,000","468,500","461,500","144.12K","1.20%"
"2017년 12월 07일","460,000","465,500","474,000","457,000","196.91K","-0.22%"
"2017년 12월 06일","461,000","451,000","464,500","451,000","219.54K","2.22%"
"2017년 12월 05일","451,000","450,000","453,500","442,500","94.76K","0.56%"
"2017년 12월 04일","448,500","451,500","452,000","444,500","85.59K","-0.22%"
"2017년 12월 03일","449,500","449,500","449,500","449,500","0.07K","0.00%"
"2017년 12월 01일","449,500","439,500","455,000","438,500","146.43K","2.98%"
"2017년 11월 30일","436,500","464,500","468,500","436,500","307.22K","-5.62%"
"2017년 11월 29일","462,500","465,000","467,500","460,000","161.72K","-0.64%"
"2017년 11월 28일","465,500","465,500","473,500","461,000","208.43K","1.20%"
"2017년 11월 27일","460,000","456,500","463,500","450,000","151.02K","0.99%"
"2017년 11월 26일","455,500","455,500","455,500","455,500","0.01K","0.00%"
"2017년 11월 24일","455,500","457,000","458,500","450,000","131.08K","-0.76%"
"2017년 11월 23일","459,000","463,000","467,000","457,000","148.99K","0.33%"
"2017년 11월 22일","457,500","472,500","477,500","456,000","306.11K","-1.61%"
"2017년 11월 21일","465,000","448,500","465,000","445,500","458.04K","5.20%"
"2017년 11월 20일","442,000","442,000","449,000","441,000","177.62K","0.91%"
"2017년 11월 19일","438,000","438,000","438,000","438,000","-","0.00%"
"2017년 11월 17일","438,000","443,000","449,500","437,000","339.00K","0.23%"
"2017년 11월 16일","437,000","416,500","437,500","416,500","377.56K","5.05%"
"2017년 11월 15일","416,000","423,000","423,500","414,000","232.28K","-1.19%"
"2017년 11월 14일","421,000","421,500","424,000","414,000","232.74K","-0.24%"
"2017년 11월 13일","422,000","425,000","428,000","419,500","279.18K","0.48%"
"2017년 11월 12일","420,000","420,000","420,000","420,000","-","0.00%"
"2017년 11월 10일","420,000","419,500","425,000","411,000","342.67K","-0.24%"
"2017년 11월 09일","421,000","437,000","445,500","419,000","1.05M","-6.86%"
"2017년 11월 08일","452,000","446,000","453,000","440,500","176.49K","1.57%"
"2017년 11월 07일","445,000","448,000","455,500","436,000","245.06K","-0.34%"
"2017년 11월 06일","446,500","437,000","448,000","434,000","268.98K","3.00%"
"2017년 11월 05일","433,500","433,500","433,500","433,500","0.05K","0.00%"
"2017년 11월 03일","433,500","414,500","434,000","411,000","300.87K","1.05%"
"2017년 11월 02일","429,000","421,000","437,000","420,500","300.37K","3.50%"
"2017년 11월 01일","414,500","424,000","428,500","410,000","262.16K","-2.81%"
"2017년 10월 31일","426,500","408,000","429,500","408,000","296.19K","5.31%"
"2017년 10월 30일","405,000","408,000","415,000","400,000","388.50K","-4.03%"
"2017년 10월 29일","422,000","422,000","422,000","422,000","0.22K","0.00%"
"2017년 10월 27일","422,000","416,500","427,500","405,000","222.46K","1.44%"
"2017년 10월 26일","416,000","423,000","428,000","414,500","238.21K","-3.03%"
"2017년 10월 25일","429,000","425,000","433,000","419,000","155.13K","1.66%"
"2017년 10월 24일","422,000","428,000","428,500","413,000","210.51K","-0.59%"
"2017년 10월 23일","424,500","430,000","431,500","422,000","169.17K","-0.47%"
"2017년 10월 22일","426,500","426,500","426,500","426,500","-","0.00%"
"2017년 10월 20일","426,500","423,500","432,500","422,500","147.35K","0.47%"
"2017년 10월 19일","424,500","452,000","452,500","422,000","323.71K","-6.50%"
"2017년 10월 18일","454,000","454,500","458,500","452,000","199.12K","1.34%"
"2017년 10월 17일","448,000","431,000","450,000","430,000","181.69K","3.94%"
"2017년 10월 16일","431,000","428,500","435,000","426,000","133.99K","0.94%"
"2017년 10월 15일","427,000","427,000","427,000","427,000","-","0.00%"
"2017년 10월 13일","427,000","435,500","444,500","423,500","299.29K","-2.51%"
"2017년 10월 12일","438,000","443,500","444,500","429,000","285.17K","-2.01%"
"2017년 10월 11일","447,000","442,000","448,000","437,000","219.31K","2.17%"
"2017년 10월 10일","437,500","465,000","470,000","434,000","433.82K","-5.81%"
"2017년 10월 09일","464,500","464,500","464,500","464,500","-","0.00%"
"2017년 09월 29일","464,500","467,500","468,000","454,000","146.70K","0.43%"
"2017년 09월 28일","462,500","455,500","463,000","445,500","171.41K","2.66%"
"2017년 09월 27일","450,500","442,500","461,000","442,500","207.31K","2.27%"
"2017년 09월 26일","440,500","441,000","447,000","439,000","101.65K","-0.90%"
"2017년 09월 25일","444,500","440,000","448,000","434,000","191.55K","1.02%"
"2017년 09월 24일","440,000","440,000","440,000","440,000","-","0.00%"
"2017년 09월 22일","440,000","442,500","454,000","439,500","217.69K","-1.90%"
"2017년 09월 21일","448,500","464,000","464,000","447,000","291.73K","-3.96%"
"2017년 09월 20일","467,000","461,000","473,000","461,000","178.34K","1.85%"
"2017년 09월 19일","458,500","468,000","471,000","453,000","234.84K","-2.45%"
"2017년 09월 18일","470,000","468,000","473,500","458,500","156.14K","0.43%"
"2017년 09월 17일","468,000","468,000","468,000","468,000","0.01K","0.00%"
"2017년 09월 15일","468,000","474,000","477,500","457,500","320.75K","-2.19%"
"2017년 09월 14일","478,500","468,500","478,500","464,000","277.84K","1.27%"
"2017년 09월 13일","472,500","458,000","477,000","457,000","304.78K","3.62%"
"2017년 09월 12일","456,000","458,000","466,500","452,500","231.91K","0.55%"
"2017년 09월 11일","453,500","453,500","456,500","443,500","249.56K","0.00%"
"2017년 09월 10일","453,500","453,500","453,500","453,500","0.48K","0.00%"
"2017년 09월 08일","453,500","463,000","466,500","449,500","259.51K","-2.26%"
"2017년 09월 07일","464,000","455,000","467,500","444,500","606.88K","5.69%"
"2017년 09월 06일","439,000","415,000","439,000","414,000","478.58K","5.78%"
"2017년 09월 05일","415,000","412,000","416,500","405,000","267.29K","0.85%"
"2017년 09월 04일","411,500","389,000","413,000","389,000","435.72K","3.91%"
"2017년 09월 03일","396,000","396,000","396,000","396,000","0.05K","0.00%"
"2017년 09월 01일","396,000","384,500","397,500","380,500","259.82K","2.99%"
"2017년 08월 31일","384,500","381,000","385,000","376,000","116.94K","1.05%"
"2017년 08월 30일","380,500","383,000","387,500","379,500","106.28K","0.13%"
"2017년 08월 29일","380,000","379,500","383,000","377,000","84.34K","-0.65%"
"2017년 08월 28일","382,500","389,000","389,000","379,000","161.56K","-1.03%"
"2017년 08월 27일","386,500","386,500","386,500","386,500","0.10K","0.00%"
"2017년 08월 25일","386,500","382,500","389,500","379,500","232.70K","1.18%"
"2017년 08월 24일","382,000","372,000","382,500","370,500","254.95K","3.24%"
"2017년 08월 23일","370,000","377,000","378,500","368,000","153.93K","-1.46%"
"2017년 08월 22일","375,500","379,000","382,000","374,000","120.93K","-0.53%"
"2017년 08월 21일","377,500","383,000","384,000","376,500","121.99K","-0.92%"
"2017년 08월 20일","381,000","381,000","381,000","381,000","0.08K","0.00%"
"2017년 08월 18일","381,000","379,000","383,000","377,500","117.47K","-0.13%"
"2017년 08월 17일","381,500","384,000","387,000","380,500","123.07K","-0.65%"
"2017년 08월 16일","384,000","387,500","391,500","382,500","203.73K","-1.03%"
"2017년 08월 15일","388,000","388,000","388,000","388,000","0.16K","0.00%"
"2017년 08월 14일","388,000","389,000","394,000","384,500","193.55K","0.39%"
"2017년 08월 13일","386,500","386,500","386,500","386,500","0.05K","0.00%"
"2017년 08월 11일","386,500","389,000","392,500","383,000","164.38K","-1.90%"
"2017년 08월 10일","394,000","393,500","396,500","385,500","333.10K","1.16%"
"2017년 08월 09일","389,500","386,500","394,000","386,500","176.50K","-0.38%"
"2017년 08월 08일","391,000","389,500","396,000","386,000","319.14K","1.82%"
"2017년 08월 07일","384,000","366,000","385,500","363,000","584.16K","3.09%"
"2017년 08월 06일","372,500","372,500","372,500","372,500","0.39K","0.00%"
"2017년 08월 04일","372,500","376,500","380,500","369,000","214.01K","-0.80%"
"2017년 08월 03일","375,500","376,000","379,500","367,000","265.04K","0.27%"
"2017년 08월 02일","374,500","368,000","377,000","365,000","258.30K","2.18%"
"2017년 08월 01일","366,500","362,000","369,000","354,500","204.99K","1.52%"
"2017년 07월 31일","361,000","350,000","361,500","349,500","154.44K","2.70%"
"2017년 07월 30일","351,500","351,500","351,500","351,500","1.05K","0.00%"
"2017년 07월 28일","351,500","361,000","362,000","351,000","223.95K","-3.03%"
"2017년 07월 27일","362,500","360,500","364,000","352,000","222.03K","0.69%"
"2017년 07월 26일","360,000","374,000","377,500","359,500","313.09K","-3.36%"
"2017년 07월 25일","372,500","367,500","378,500","366,000","282.78K","1.78%"
"2017년 07월 24일","366,000","380,500","381,000","364,000","338.61K","-3.05%"
"2017년 07월 23일","377,500","377,500","377,500","377,500","1.33K","0.00%"
"2017년 07월 21일","377,500","384,000","386,500","376,500","327.29K","-2.33%"
"2017년 07월 20일","386,500","365,000","387,000","362,500","491.54K","7.21%"
"2017년 07월 19일","360,500","360,500","370,000","357,500","306.15K","0.42%"
"2017년 07월 18일","359,000","358,000","361,500","351,000","276.67K","0.00%"
"2017년 07월 17일","359,000","364,500","371,500","356,000","273.70K","-1.51%"
"2017년 07월 16일","364,500","364,500","364,500","364,500","0.54K","0.00%"
"2017년 07월 14일","364,500","369,000","369,500","353,500","330.09K","-0.82%"
"2017년 07월 13일","367,500","367,500","375,500","366,000","318.24K","1.24%"
"2017년 07월 12일","363,000","379,500","383,000","362,000","449.81K","-3.71%"
"2017년 07월 11일","377,000","379,000","382,000","373,500","254.85K","-0.40%"
"2017년 07월 10일","378,500","400,500","401,000","378,000","501.80K","-4.30%"
"2017년 07월 09일","395,500","395,500","395,500","395,500","0.03K","0.00%"
"2017년 07월 07일","395,500","400,000","403,000","389,000","584.63K","-2.35%"
"2017년 07월 06일","405,000","395,000","406,000","390,000","745.06K","4.25%"
"2017년 07월 05일","388,500","378,000","392,000","373,000","638.79K","3.60%"
"2017년 07월 04일","375,000","372,000","378,500","366,000","452.05K","1.63%"
"2017년 07월 03일","369,000","388,500","390,000","365,000","584.99K","-2.77%"
"2017년 07월 02일","379,500","379,500","379,500","379,500","0.33K","0.00%"
"2017년 06월 30일","379,500","380,500","389,000","371,000","544.46K","0.26%"
"2017년 06월 29일","378,500","367,500","381,000","362,500","615.97K","4.70%"
"2017년 06월 28일","361,500","386,000","389,500","354,500","850.54K","-6.35%"
"2017년 06월 27일","386,000","386,000","395,500","381,000","431.97K","-0.39%"
"2017년 06월 26일","387,500","408,000","408,000","382,000","976.60K","-0.39%"
"2017년 06월 25일","389,000","389,000","389,000","389,000","0.03K","0.00%"
"2017년 06월 23일","389,000","358,000","389,500","355,000","1.55M","11.78%"
"2017년 06월 22일","348,000","371,000","372,500","339,500","1.84M","-4.66%"
"2017년 06월 21일","365,000","347,000","375,500","335,500","2.37M","1.11%"
"2017년 06월 20일","361,000","409,000","413,500","351,000","1.05M","-11.41%"
"2017년 06월 19일","407,500","406,000","418,500","403,500","360.93K","0.00%"
"2017년 06월 18일","407,500","407,500","407,500","407,500","0.99K","0.00%"
"2017년 06월 16일","407,500","413,500","414,000","401,500","243.87K","-1.93%"
"2017년 06월 15일","415,500","419,500","421,500","411,500","236.39K","0.12%"
"2017년 06월 14일","415,000","407,500","417,000","403,000","255.35K","1.72%"
"2017년 06월 13일","408,000","420,000","426,500","404,000","390.98K","-1.92%"
"2017년 06월 12일","416,000","413,000","421,000","407,500","379.40K","2.46%"
"2017년 06월 11일","406,000","406,000","406,000","406,000","0.22K","0.00%"
"2017년 06월 09일","406,000","395,000","407,000","391,000","312.27K","3.57%"
"2017년 06월 08일","392,000","392,000","395,000","386,500","352.25K","0.13%"
"2017년 06월 07일","391,500","396,500","398,500","389,000","208.99K","-0.25%"
"2017년 06월 06일","392,500","392,500","392,500","392,500","-","0.00%"
"2017년 06월 05일","392,500","384,000","396,500","383,000","294.03K","2.61%"
"2017년 06월 04일","382,500","382,500","382,500","382,500","0.38K","0.00%"
"2017년 06월 02일","382,500","378,500","382,500","375,000","152.14K","1.32%"
"2017년 06월 01일","377,500","378,000","380,500","373,500","108.18K","-0.26%"
"2017년 05월 31일","378,500","382,500","382,500","377,000","181.25K","-1.05%"
"2017년 05월 30일","382,500","380,000","385,500","379,500","135.58K","0.92%"
"2017년 05월 29일","379,000","375,000","386,000","373,500","243.46K","0.66%"
"2017년 05월 28일","376,500","376,500","376,500","376,500","0.01K","0.00%"
"2017년 05월 26일","376,500","368,000","377,000","365,500","262.09K","3.15%"
"2017년 05월 25일","365,000","365,500","370,500","360,500","277.50K","-0.14%"
"2017년 05월 24일","365,500","373,000","376,500","363,500","393.14K","-2.92%"
"2017년 05월 23일","376,500","380,500","381,500","374,500","195.41K","-0.92%"
"2017년 05월 22일","380,000","382,500","390,000","379,000","228.98K","0.13%"
"2017년 05월 21일","379,500","379,500","379,500","379,500","-","0.00%"
"2017년 05월 19일","379,500","374,000","383,000","373,500","244.05K","1.47%"
"2017년 05월 18일","374,000","370,500","380,000","370,500","280.83K","-0.13%"
"2017년 05월 17일","374,500","363,000","376,000","362,000","379.99K","4.46%"
"2017년 05월 16일","358,500","359,500","362,500","355,000","318.92K","-0.14%"
"2017년 05월 15일","359,000","351,000","360,000","342,000","319.62K","2.28%"
"2017년 05월 14일","351,000","351,000","351,000","351,000","0.42K","0.00%"
